code,name,credits,description
52-291,PUTNAM POWER HOUR,1,"This course is designed to sharpen problem solving abilities. Students 
will tackle challenging problems from the William Lowell Putnam Competitions of previous years 
and study some of the published solutions. Students enrolled in this course will be encouraged to 
compete in the Putnam Competition in early December. This course may be repeated for credit, but 
may not be counted toward the major or minor, and must be taken Pass/D/F. Prerequisite: Consent of 
instructor. (Fall)"
52-364,MODERN CALCULUS III,4,"This course focuses on calculus useful for the mathematical and physical 
sciences. Topics include: scalar and vector-valued functions and derivatives; parameterization and 
integration over regions, curves, and surfaces; divergence; curl; Green’s theorem; infinite series; 
power series; Taylor series; and mathematical definitions of the integral, derivative, and limit. 
Attention is given to both symbolic and numerical computing. Applications drawn from the natural 
sciences, probability, and other areas of mathematics. Prerequisite: Mathematics 52-264. (Fall, 
Spring) (NS)"
52-384,DISCRETE MATHEMATICS,4,See Computer Science 54-384. (Fall) (NS)
52-404,GEOMETRY,4,"This course investigates various approaches to geometry. Topics may include synthetic 
geometry, analytic geometry, projective geometry, differential geometry, Euclidean geometry and 
non-Euclidean geometry. Prerequisite: Permission of instructor. (Fall, odd years) (NS)"
52-414,OPERATIONS RESEARCH,4,"See Computer Science 54-414 and Business 30-414. Contributes to 
Data Analytics and Data Science."
52-524,INTRODUCTION TO NUMERICAL ANALYSIS,4,"This course investigates the derivations and 
applications of numerical techniques. Topics include: interpolation, approximation, numerical 
differentiation and integration, zeroes of functions and solution of linear systems. Also Computer 
Science 54-524. Prerequisites: Mathematics 52-264, 52-674, and Computer Science 54-184, or 
permission of instructor. (NS)"
52-574,PROBABILITY AND MATHEMATICAL STATISTICS,4,"This course is a calculus-based, 
mathematical introduction to the fundamental principles of probability theory and applications. Topics 
include combinatorial analysis used in computing probabilities, the axioms and properties of 
probability, conditional probability, independence of events, discrete and continuous random 
variables, the standard distributions, expected value and variance, joint distributions, distributions of a 
function of a random variable, and sampling distributions. Also included are theoretical results such as 
Bayes’ Theorem, Central Limit Theorem, Law of Large Numbers, the Empirical Rule, Hypothesis 
Testing and Confidence intervals at least for a single mean and a single proportion. Contributes to 
Data Analytics and Data Science. Prerequisite: Mathematics 52-264. (Spring) (NS)"
52-674,LINEAR ALGEBRA,4,"This course is an introduction to the basic structure of proofs, linear equations 
and matrices, vector spaces, linear mappings, determinants, quadratic forms, vector products and 
groups of symmetries. Prerequisite: Mathematics 52-164, and one approved Mathematics or Computer 
Science course at the 200-level or above, or permission of instructor. (Annually) (NS)"
52-684,ALGEBRAIC STRUCTURES,4,"This course investigates the theory of sets, relations, functions, groups 
and rings. A rigorous approach to learning and writing proofs is emphasized. Prerequisite: 
Mathematics 52-674 or permission of instructor. (Fall) (NS)"
52-754,DIFFERENTIAL EQUATIONS,4,"This course investigates the theory and application of differential 
equations. Topics include both linear and nonlinear first order ordinary differential equations, 
numerical solutions, and higher order linear ordinary differential equations. Solution techniques may 
include undetermined coefficients, variation of parameters, power series solutions, and Laplace 
transforms. Additional topics may be chosen from linear systems, nonlinear systems and Fourier 
series analysis of partial differential equations with boundary conditions. Prerequisite: Mathematics"
52-834,COMPLEX ANALYSIS,4,"This course investigates functions of a complex variable. Topics include 
algebra and geometry of complex numbers, analytic and harmonic functions, mappings, Taylor and 
Laurent series, and contour integration. Prerequisite: Mathematics 52-364, or permission of instructor. 
(Fall, even years) (NS)"
52-844,SEMINAR IN SPECIAL TOPICS,4,"This course is a limited enrollment seminar in a major area of 
mathematics not generally covered in other courses. Topics may include but are not limited to 
combinatorics, logic, topology, and history of mathematics. The course may be repeated for credit as 
topics vary. (NS)"
52-854,REAL ANALYSIS,4,"This course investigates the algebra and topology of the real numbers. Topics 
include completeness, sequences, limits and continuity, differentiation, the Mean-Value Theorem, the 
Riemann/Darboux integral, and infinite series. May also include sequences and series of functions. A 
rigorous approach to learning and writing proofs is emphasized. Prerequisite: Mathematics 52-674, or 
permission of instructor. (Spring) (NS)"
52-874,SEMINAR IN ADVANCED TOPICS,4,"This course is intended to provide additional depth in one of 
the core subject areas offered in the department. It primarily serves as a second-semester course in 
algebraic structures, differential equations, or real analysis. The course may be repeated for credit as 
topics vary. Prerequisite: Permission of instructor. (NS)"
52-894,SENIOR SEMINAR IN MATHEMATICS,4,"This course will fulfill the capstone requirement in 
Mathematics. Since it serves as a culmination of the student’s undergraduate mathematical 
experience, a balance is sought between application and theory. Topics may vary with the instructor. 
Applications will be taken from the social and natural sciences. Collaboration and significant class 
participation are expected. Each student will take the Major Field Test. A major semester project 
resulting in a written paper and an oral presentation is required; an external presentation may also be 
required. Prerequisites: Five courses in the major at the 300 level or above, Computer Science 54-184, 
and permission of instructor. (Fall) (NS) (WA)"
"52-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"52-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic. Prerequisite: Permission of instructor.
"52-901, 902, 903, 904",TUTORIAL,4,"52-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Internships related to specific fields of study. Must be taken Pass/D/F. 
May not be used for the Mathematics major or minor or Computational Mathematics major."
"52-951, 952, 953, 954",INDEPENDENT STUDY,4,"52-984 
HONORS. By invitation only. 
Computer Science (CSC)"
54-144,EXPLORATIONS IN COMPUTING,4,"This course is an introduction to the discipline of computer 
science with an emphasis on applications in the liberal arts. Topics include basic programming 
constructs, basic data structures, algorithmic computation, selection, iteration, interactive user 
interfaces, abstraction and reasoning about computer programs. This is an introductory course 
intended for humanities, social science and fine arts majors. May not be used for the Computer 
Science major or minor. Cannot be taken after successful completion of Computer Science 54-184,"
54-184,COMPUTER SCIENCE I,4,"This is the standard first course in computer programming in an object-
oriented style. It is primarily intended for students pursuing a major or minor in computer science, 
mathematics or other disciplines in the natural sciences. Topics include primitive types and 
operations, assignment, conditional execution, iteration, arrays, classes, methods, recursion, 
encapsulation, type extension, inheritance and reasoning about programs in Java. The course includes 
a laboratory component designed to explore applications and to enhance conceptualization. 
Contributes to Data Analytics and Data Science.  (Fall, Spring) (NS)"
54-281,COLLOQUIUM IN COMPUTER SCIENCE,1,"In this seminar-style course, each student will give a 
lecture on a topic in computer science not normally covered in depth in the regular curriculum. 
Presentation of one lecture and participation in discussions is required. This course may be repeated 
for credit, but may not be counted toward the major or minor. Must be taken Pass/D/F. Prerequisite: 
Prior or concurrent enrollment in Computer Science 54-284, and permission of the instructor. 
173"
54-284,COMPUTER SCIENCE II,4,"This course is a continuation of 54-184 Computer Science I, with an 
emphasis on abstract data objects such as lists, stacks, queues, trees and graphs, and test-first 
programming using the automated testing paradigm JUnit. Topics include algorithms for searching, 
sorting, traversing, inserting and deleting, and reasoning about these algorithms. The course includes 
a laboratory component designed to explore applications and to enhance conceptualization. 
Contributes to Design Thinking. Prerequisite: Computer Science 54-184 or permission of instructor. 
(Spring) (NS)"
54-291,PUZZLING PROGRAMS,1,"Given a precise program specification and a few input/output examples, 
students will gain experience quickly devising a solution that passes a suite of unseen (and generally 
more complicated) input/output examples. Teamwork, troubleshooting code based on very limited 
feedback from automated systems, effectively reading problem descriptions, and discerning relevant 
details will be practiced. This course (or prior enrollment in this course) is required for students 
wishing to compete in the South Central USA Regional ACM Programming Contest. This course may 
be repeated for credit, but may not be counted towards the major or minor. Must be taken Pass/D/F. 
Prerequisite: Computer Science 54-184. (Fall)"
54-384,DISCRETE MATHEMATICS,4,"This course investigates concepts in the modeling of discrete 
phenomena. Topics include logic, structure of proof, set theory, combinatorics, graphs, induction and 
recurrence relations. Also Mathematics 52-384. Prerequisites: Mathematics 52-164, Computer 
Science 54-184, and either Mathematics 52-264 or Computer Science 54-284, or permission of 
instructor. (Fall) (NS)"
54-394,COMPUTER ORGANIZATION,4,"This course studies computer architecture, internal representation 
of data, assembly language programming, subroutines and parameter passing, design of machine 
language instruction sets, bus structure, digital logic, and support for parallelism. The course includes 
a laboratory component designed to explore applications and to enhance conceptualization. 
Prerequisite: Computer Science 54-284 or permission of instructor. (Fall) (NS)"
54-414,OPERATIONS RESEARCH,4,"Formulation and solution of problems with management, economics, 
engineering and science applications using modeling, optimization techniques, and simulation. Topics 
include linear and integer programming, simplex method, duality, sensitivity analysis, branch and 
bound algorithm, transportation and assignment problems, network optimization, and problem solving 
using optimization software. Also Mathematics 52-414 and Business 30-414. Contributes to Data 
Analytics and  Data Science.  Prerequisites: Mathematics 52-164 (Modern Calculus I), and either 
Business 30-474 (Finance), Mathematics 52-674 (Linear Algebra), some Computer Science course at 
the 300 level or above, or permission of the instructor."
54-424,ARTIFICIAL INTELLIGENCE,4,"This course studies the use of computer algorithms to emulate the 
cognitive and problem solving capabilities of humans. Topics include: search, optimization, 
reinforcement learning, evolutionary computation, statistical methods and (deep) neural networks. 
Contributes to Neuroscience. Prerequisite: Computer Science 54-284 or permission of instructor. (NS)"
54-454,ALGORITHMS,4,"An introduction to the design and analysis of algorithms and their implementation in 
C++. Topics include: greedy, divide-and-conquer, dynamic programming, graph, and randomized 
algorithms; asymptotic analysis and computational tractability (e.g. NP-completeness); practical data 
structures (stacks, trees, queues, graphs, hash tables, heaps). Prerequisite: Computer Science 54-284, 
or permission of instructor.  Contributes to Design Thinking. (Spring) (NS)"
54-474,PROGRAMMING LANGUAGES,4,"A study of the principles and practice in the design and 
implementation of imperative, functional, logic and object-oriented programming languages. 
Prerequisite: Computer Science 54-394 or permission of instructor. (Fall) (NS)"
54-514,DATABASE MANAGEMENT,4,"An introduction to the theory and practice of database management 
systems. Topics include database terminology, the entity-relationship model, the relational model, 
normalization, querying databases using SQL, and exploration of other database technologies. The 
course includes a laboratory component designed to explore applications and to enhance 
conceptualization.  Contributes to Data Analytics and Data Science.  Prerequisite: Computer Science"
54-524,INTRODUCTION TO NUMERICAL ANALYSIS,4,See Mathematics 52-524. (NS)
54-644,COMPUTER SYSTEMS,4,"An introduction to operating systems and computer networks. Topics 
include process control, scheduling, threads, concurrency, memory management, virtual memory, 
network protocol layers, packets, routing and network security. Prerequisite: Computer Science 54-
394. (Spring) (NS) 
174"
54-844,SEMINAR IN SPECIAL TOPICS,4,"A limited enrollment seminar not generally covered in other 
courses. This course may be repeated for credit as topics vary. (NS)"
54-894,SENIOR SEMINAR IN SOFTWARE ENGINEERING,4,"Introduction to techniques and theories for 
the development of large software systems. This course will fulfill the capstone requirement in 
Computer Science. Topics include: software design and quality, ethics, professional issues, the study 
of current software engineering trends, theory and practice. Each student will contribute substantially 
to a major semester project, do at least one major individual presentation, and have significant class 
participation. Each student will take the Major Field Test. Prerequisite: Six courses in the major at the 
300 level or above, and permission of instructor. Must have completed one of Computer Science 54-
454, 54-514, or 54-474. (Spring) (NS) (WA)"
"54-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"54-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic. Prerequisite: Permission of instructor.
"54-901, 902, 903, 904",TUTORIAL,4,"54-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Internships related to specific fields of study. Must be taken Pass/D/F. 
May not be used for the Computer Science major or minor or Computational Mathematics major."
"54-951, 952, 953, 954",INDEPENDENT STUDY,4,May be repeated with change in content.
54-984,HONORS,4,"By invitation only. 

Ensembles (ENS)"
78-101,SOUTHWESTERN UNIVERSITY WIND ENSEMBLE,1,"The SU Wind Ensemble performs 
one classical music concert per semester and also serves the University by performing at its annual 
Commencement ceremony. The Ensemble is comprised of music majors and non-music majors. This 
class exposes all students (and their audience) to as rich and diverse a classical music repertoire as 
possible while maintaining a commitment to the tenets of a liberal arts education. Students in this 
course learn to combine artistic expression with disciplined performance practice and to incorporate 
historical and theoretical knowledge into their understanding of the musical arts. This course is open 
to all University students with 3-4 years of high school ensemble experience. (Each semester) (FA)"
78-111,SOUTHWESTERN UNIVERSITY JAZZ BAND,1,"The SU Jazz Band is open to all University 
students by audition. This course presents the opportunity to develop the skills necessary to perform 
in a jazz ensemble while gaining exposure to idiomatic performance practices and other commercial 
music genres. Students perform in at least one public concert and feature the music of noted jazz 
composers such as Miles Davis, Duke Ellington, Thelonious Monk and others. (Each semester) (FA)"
78-121,SOUTHWESTERN UNIVERSITY SINGERS,1,"Southwestern University Singers meets as two 
distinct ensembles: Tenors and Basses (Monday and Wednesday) and Sopranos and Altos (Tuesday 
and Thursday). Both groups are open to all SU students and require no audition. These ensembles 
strive to create gender-safe and affirming spaces while exploring diverse repertoire from many 
different choral styles. Students will learn to sing with more confidence by learning the foundations of 
healthy singing and building blocks of music literacy. No audition required. (Each semester) (FA)"
78-131,SOUTHWESTERN UNIVERSITY CHORALE,1,"Southwestern University Chorale is the auditioned 
SATB Mixed Ensemble at SU. This ensemble is by audition only. (Auditions are held during the first 
week of Fall classes for Fall placement, and the week after Thanksgiving for Spring openings). 
Singers in Chorale are expected to read music at a high level (using the solfege system), sing with a 
stable and balanced vocal tone, and possess a commitment to the group, demonstrated by occasional 
independent preparation outside of rehearsal. Chorale strives to present high quality choral art to our 
community and beyond, while focusing on community and trust within the ensemble. (Each semester) 
(FA)"
78-141,OPERA THEATRE,1,"Opera Theatre is open to all students by audition. Students will learn basic stage 
movement and acting techniques for the lyric theatre, culminating in public performance. All 
performances will be from memory. One semester each year will be fully costumed with minimal set, 
while the alternate semester will be minimally produced and performed in concert dress with the goal 
of helping students grow both as singing actors and in ensemble work. Includes additional lab as 
indicated by instructor. Prerequisite: concurrent enrollment in applied voice and permission of the 
instructor. (Each semester) (FA)"
78-171,SOUTHWESTERN UNIVERSITY ORCHESTRA,1,"The SU Orchestra performs at least  one classical 
music concert per semester and also combines forces on occasion with SU Musical Theatre, Chorale, 
and Opera Theatre programs. The Orchestra is comprised of music majors and non-music majors. 
This class exposes all students (and their audience) to as rich and diverse a classical music 
repertoire as possible while maintaining a commitment to the tenets of a liberal arts education. 
Students in this course learn to combine artistic expression with disciplined performance practice and 
to incorporate historical and theoretical knowledge into their understanding of the musical arts. This 
course is open to all University students with 3-4 years of high school ensemble experience.  (Each 
semester) (FA) 
Music Education (MUE)"
77-311,STRING METHODS,1,"This course is designed to provide a survey of instruction for students studying 
string instruments. Ability to read music is required and previous experience with a musical 
instrument is recommended, as this is a performance-oriented course. (Fall) (FA)"
77-321,WOODWIND METHODS,1,"This course is designed to provide a survey of instruction for students 
studying woodwind instruments. Ability to read music is required and previous experience with a 
musical instrument is recommended, as this is a performance-oriented course. (Fall) (FA)"
77-331,BRASS METHODS,1,"This course is designed to provide a survey of instruction for students studying 
brass instruments. Ability to read music is required and previous experience with a musical 
instrument is recommended, as this is a performance-oriented course. (Spring) (FA)"
77-341,PERCUSSION METHODS,1,"This course is designed to provide a survey of instruction for students 
studying instrumental music. Ability to read music is required and previous experience with a musical 
instrument is recommended, as this is a performance-oriented course. (Spring) (FA)"
77-351,VOCAL METHODS,1,"For the Music Education major (instrumental emphasis) degree program. This 
course provides basic singing instruction and pedagogy. (Spring of odd-numbered years) (FA)"
77-423,METHODS OF MUSIC IN THE ELEMENTARY SCHOOL,3,"Methods of presenting music materials 
to children in grades K-6. Open only to students who have passed the Sophomore Barrier 
Examination and been admitted to the Music Education major. (Fall of odd-numbered years) (FA)"
77-443,CHORAL MUSIC EDUCATION,3,"A survey of the material available for junior and senior high 
school choirs. A study of the organization and problems of choral groups and vocal pedagogy for 
choral ensembles. Arranging for choral ensembles. Each student will rehearse the class for small-
ensemble experience. Prerequisites: Music Theory 76-211, 76-213, and Music Literature 80-214; or 
permission of the instructor. (Spring of even-numbered years) (FA)"
77-473,METHODS OF MARCHING BAND PERFORMANCE,3,"A study of the marching band as a medium 
of entertainment and of its value to the instrumental program in the public schools. The study includes 
fundamentals of marching, precision drill, designing of formations, and planning and execution of a 
half-time show. Open only to students who have passed the Sophomore Barrier Examination and been 
admitted to the Music Education major. (Fall) (FA)"
77-522,VOCAL PEDAGOGY,2,"A discussion of historical and current pedagogical techniques; the physiology 
of singing and voice types; training the young singer; vocal development through repertoire choice. 
Prerequisites: Two semesters of applied voice study at the college level and concurrent enrollment in 
applied voice study. (Spring of even-numbered years) (FA)"
77-532,PIANO PEDAGOGY,2,"Presentation of methods and materials used in individual and class instruction 
of piano students. Prerequisites: Passage of the Sophomore Barrier Examination and admission to the 
Keyboard Performance major; or four semesters of applied piano or organ study; or permission of 
instructor. (FA)"
77-603,CHORAL CONDUCTING,3,"Introduction of baton techniques and rehearsal procedures. Each student 
will conduct the class for small-ensemble experience. Prerequisites: Music Theory 76-211, 76-213 
and Music Literature 80-214; or permission of instructor. (Fall of even-numbered years) (FA) 
 
190"
77-613,INSTRUMENTAL CONDUCTING,3,"This course is an introduction to manual conducting techniques. 
Each student will conduct members of the class and a rehearsal pianist for small-ensemble experience 
and then conduct their final exam with the SU Wind Ensemble. Prerequisites: Music Theory 76-211,"
77-623,ADVANCED INSTRUMENTAL CONDUCTING,3,"This course is a continuation of the beginning 
course, plus in-depth score study and development of good rehearsal techniques.  Students will 
rehearse the SU Wind Ensemble or Orchestra throughout the semester and then conduct a portion of a 
public concert for their final exam. Prerequisite: Music Education 77-603 or 77-613. (Spring) (FA) 
(WA)"
77-633,ADVANCED CHORAL CONDUCTING,3,"A continuation of manual conducting techniques, score 
reading and performance preparation. Students will conduct a portion of a public concert. Each 
student will conduct the class for small-ensemble experience. Prerequisite: Music Education 77-603 
or 77-613. (Spring of odd-numbered years) (FA)"
"77-804, 808",STUDENT TEACHING,8,"See Education 40-804, 40-808, 40-824, 40-828"
"77-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in content.
"77-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in content.
"77-901, 902, 903, 904",TUTORIAL,4,"77-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"77-951, 952, 953, 954",INDEPENDENT STUDY,4,May be repeated with change in content.
77-984,HONORS,4,"By invitation only. 
Music Literature (MUL)"
80-100,RECITAL ATTENDANCE,0,"Students enrolled in this course are required to attend a set number of 
musical performances in the Music Department and elsewhere during the semester. In addition, each 
student must attend one SU Theatre production or Art gallery opening event. Students will also gather 
with faculty for several required listening sessions during the semester. Six semesters must be 
satisfactorily completed to fulfill requirements for the BM or BA (Music) degrees. Four semesters are 
required for transfer students, and for students who begin at Southwestern and are admitted to the 
music major by audition later than the end of their second semester of residence. Must be taken 
Pass/D/F. (Each semester)"
80-104,INTRODUCTION TO MUSIC,4,"A course for non-music majors designed to give students a general 
understanding of music and to increase their enjoyment of music through musical participation and 
the development of listening skills. Students will consider the various basic applications and 
manifestations of harmony, melody, time, timbre, texture, genre and form. They will refine their skill 
of aural perception in order to enhance the ability to sharply focus and sustain concentration in 
listening. Students will develop an understanding of musical style by examining works representative 
of the main musical style periods. Contributes to Neuroscience. (Each semester) (FA)"
80-114,MUSIC LITERATURE I,4,"A survey of the principle periods of music history and the most important 
genres, styles, compositional techniques, and composers of each period. Prerequisites: Music Theory"
80-124,WORLD MUSIC,4,"An introduction to the music of non-Western cultures, including the study of the 
music of Africa, India, Bosnia, Japan, Latin America, Native America and Indonesia. Issues include 
the interaction of traditional music with modern/Western music and the use of music to create a 
national or ethnic identity. (Fall) (FA)"
80-134,MUSIC IN THE UNITED STATES,4,"A survey of “American” musical interactions viewed through 
the lens of cultural history. This course explores the traditions of popular song, concert music, and 
indigenous styles, and in so doing, negotiates and challenges ideas around canonical “great works” by 
considering music, musicians and traditions that are generally considered to be at the center of that 
canon, as well as those that have been historically excluded from it. Contributes to Race and Ethnicity 
Studies/Allied Course. (SJ) (FA) 
 
191"
80-214,MUSIC LITERATURE II,4,"A historical survey of music from Classical Antiquity through the 
Baroque. Contributes to International Studies. Prerequisite: Music Literature 80-114, or permission of 
instructor. (Fall) (FA)"
80-314,MUSIC LITERATURE III,4,"A historical survey of music since ca. 1750. Contributes to International 
Studies. Prerequisite: Music Literature 80-214, or permission of instructor. (Spring) (FA)"
80-414,MUSIC LITERATURE IV,4,"Special topics in Music Literature. Contributes to International Studies. 
(Fall) (FA) (WA)"
80-424,MEDIEVAL AND RENAISSANCE MUSIC,4,"A survey of Western European music to 1600. 
Contributes to International Studies. Prerequisite: Music Literature 80-314. (FA)"
80-434,BAROQUE MUSIC,4,"A survey of Western European music from 1600 to 1750. Contributes to 
International Studies. Prerequisite: Music Literature 80-314. (FA) (WA)"
80-444,CLASSICAL AND ROMANTIC MUSIC,4,"A survey of Western European music from 1750 to 1900. 
Contributes to International Studies. Prerequisite: Music Literature 80-314. (FA) (WA)"
80-622,INSTRUMENTAL PEDAGOGY AND LITERATURE,2,"Pedagogy and Literature courses will survey 
their instrument's most significant solo and ensemble literature from relevant style periods and 
examine pedagogical practices from a historical and contemporary perspective. This course is 
intended for Instrumental Performance majors. Prerequisite: Successful completion of the Sophomore 
Barrier Examination. (FA)"
80-701,DICTION IN VOCAL MUSIC I,1,"The principles of pronunciation and diction in French, German and 
Italian for the beginning voice student, including an intensive application of these principles to vocal 
literature in these languages. Prerequisite: two semesters of applied voice study at the college level, 
Music Theory 76-113 and concurrent enrollment in applied voice. (Fall of even-numbered years) 
(FA)"
80-711,DICTION IN VOCAL MUSIC II,1,"A continuation of Diction in Vocal Music I. Prerequisite: Music 
Literature 80-701. (Spring of odd-numbered years) (FA)"
80-712,SONG LITERATURE AND PERFORMANCE,2,"A survey of great solo art song literature and its 
performance practice. Prerequisite: Two semesters of applied voice study at the college level, or 
Music Theory 76-113 and concurrent enrollment in applied voice. (Fall of odd-numbered years) (FA)"
"80-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with changed content.
"80-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with changed content.
"80-901, 902, 903, 904",TUTORIAL,4,"80-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"80-951, 952, 953, 954",INDEPENDENT STUDY,4,"Readings and projects selected to broaden the advanced student’s 
acquaintance with music through independent research. Requires permission of instructor. May be 
repeated with changed content."
80-984,HONORS,4,"By invitation only. 
Music Theory (MUT)"
76-103,FUNDAMENTALS OF MUSIC THEORY,3,"A foundational survey of the notation and analysis of 
Western musical practices of the 18th and 19th centuries, to include: clefs, key signatures, scales, 
meter, triads and seventh chords and their inversions, Roman numeral analysis, and an introduction to 
4-part writing.  Some ability to read musical notation is highly recommended prior to enrollment. 
192 
 
This course is a prerequisite to Music Theory 76-113. Qualified students may place out of this class 
by examination. To be taken concurrently with Music Theory 76-101. (Fall) (FA)"
76-223,MUSIC TECHNOLOGY,3,"A survey of the fundamentals of music technology in the context of its 
historical and cultural use. Scientific foundations of acoustics, hearing, and digital audio as well as 
technical skills for music production will be addressed; students will work on practical applications of 
these concepts and techniques. Contributes to Design Thinking and Neuroscience. (Spring of even-
numbered years) (FA)"
76-343,ORCHESTRATION,3,"A study of orchestral instrumentation and the art of transcription for orchestra, 
through score analysis and arranging projects. Prerequisite: Music Theory 76-213. (Spring of odd-
numbered years) (FA)"
"76-532, 534",COMPOSITION,4,"Individual instruction in the craft of musical composition. Students are introduced 
to the techniques and languages of contemporary concert music through original writing exercises and 
listening assignments. Continued study will ultimately lead to writing projects in larger forms. May 
be repeated for credit. Contributes to Design Thinking. Prerequisite: Music Theory 76-101 and 76-
103, or consent of instructor. (Each semester) (FA)"
"76-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with changed content.
"76-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with changed content.
"76-901, 902, 903, 904",TUTORIAL,4,"76-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"76-951, 952, 953, 954",INDEPENDENT STUDY,4,"Readings and projects selected to broaden the advanced student’s 
acquaintance with music through independent research. Requires permission of instructor. May be 
repeated with changed content."
76-984,HONORS,4,By invitation only.
"18-301, 302, 303, 304",SELECTED TOPICS,4,"Lectures and readings on subjects of special interest. Subjects to be announced. 
May be repeated with change in topic. (H)"
"18-901, 902, 903, 904",TUTORIAL,4,"18-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"18-951, 952, 953, 954",INDEPENDENT STUDY,4,"Readings selected to broaden the student’s acquaintance with areas of 
philosophy or topics of special interest. May be repeated with changed content."
18-984,HONORS,4,"By invitation only
Physics (PHY)"
"53-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"53-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic.
"53-901, 902, 903, 904",TUTORIAL,4,"53-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F."
"53-951, 952, 953, 954",INDEPENDENT STUDY AND RESEARCH,4,May be repeated with change in content.
53-984,HONORS,4,By invitation only.
32-114,AMERICAN POLITICS,4,"This course will help you understand the incentives and motivations of 
actors throughout the American political system so that you can interpret what you read and hear 
about American politics in a more analytical manner.  The course serves simultaneously as a “civics” 
course that helps you become a more confident participant in American politics and as an introduction 
to the theories and methods used in the study of American politics. Contributes to Health Studies. 
(Fall, Spring) (ScS)"
32-144,COMPARATIVE POLITICS,4,"An introductory survey of major political systems, representing both 
Western and non-Western countries. No single political system will be studied in depth. This course 
provides the tools for such study in the future. Contributes to Design Thinking and International 
Studies. (Fall, Spring) (ScS)"
32-184,POLITICS OF LATIN AMERICA AND THE CARIBBEAN,4,"This introduction to contemporary 
Latin American and Caribbean politics also allows students with previous knowledge about the region 
to further their interests. The course is built around some of the key issues which confront Latin 
America and the Caribbean. Contributes to Anthropology, International Studies, Latin American and 
Border Studies, Race and Ethnicity Studies/Allied Course, and Sociology. Course is approved to 
fulfill an upper-level course requirement in the Anthropology major (ScS) (SJ) (Comparative 
politics)."
32-204,AMERICAN POLITICAL THOUGHT,4,"This course analyzes the promises, prophesies, problems, and 
practices that have attached to the concept of “America,” from the pre-founding era to the twentieth 
century. We study the stories and fictions that have shaped a sense of community. We explore the 
positive and negative aspects of “American exceptionalism,” the unique anxieties attached to 
American identity, the various conceptions of nature, wilderness, and frontier that formed American 
ideals, and the paradoxes and contradictions of democracy in the United States. (ScS) (SJ) (Political 
theory)"
32-224,MIDDLE EAST POLITICS,4,"A survey of the comparative and international politics of the Middle 
East, focusing on major Arab states, Israel and Iran. Contributes to International Studies.  (ScS) 
(Comparative politics)"
32-254,MASS MEDIA AND AMERICAN POLITICS,4,"This course is an introduction to the study of the 
mass media and the media’s role in American politics. We will focus on traditional print and 
broadcast news media as well as the advent of online and social media, exploring the content of news 
coverage, the role and structure of the media as a political institution, issues of ownership and 
regulation, questions of bias and objectivity, and the effects, if any, of media exposure on citizens. 
(ScS) (American Politics)"
32-264,POLITICAL IDEOLOGIES,4,"An introduction to the systems of ideas, ideals and beliefs through 
which people view and act in the world. Particular emphasis is placed on the argumentative structure 
and the political and psychological functions of ideologies; on their historical origin(s) and 
development; and on their respective conceptions of freedom and democracy. This course is open 
only to first years and sophomores.  Juniors and seniors may register with the permission of the 
instructor. (ScS) (Political theory)"
32-344,TEXAS LEGISLATIVE POLITICS INTERNSHIPS,4,"An opportunity to compare political theory and 
practical politics in a work environment at the Texas State Capitol, under supervision of department 
faculty. This class is offered every other Spring when the Texas legislature is in session and  is open 
to students in good academic and disciplinary standing with eight credits in Political Science. 
Internships are generally open to juniors and seniors. No more than one internship can count toward 
the major. Prerequisite: Political Science 32-114 and one additional Political Science course. (ScS) 
(American politics)"
32-364,INTRODUCTION TO POLITICAL THEORY,4,"This course introduces students to political theory, 
through critically analyzing key texts of the Western canon and practicing the methods of conceptual 
analysis that shape the subfield. We analyze ideologies as well as foundational yet essentially 
contested political concepts -- such as justice, equality, reason, sovereignty, democracy, consent, 
obligation, and freedom -- to learn how power shapes ideas and how politics operates within theories. 
We critically analyze the standpoints, assumptions, and exclusions that shape the canon, with 
attentiveness to identity and difference. Prerequisites: Political Science 32-114 and 32-144. (ScS) 
(WA) (SJ) (Political theory)"
