code,title,credit_hours,description
HIS 4310,History Internship,4,"Supervised on-the-job experience and involvement at one of Austin's museums, libraries, archives, 
agencies or businesses. Interns will work with professionals in the history field. Prerequisites: Junior 
or senior standing, 3.00 GPA in the major, 2.50 cumulative GPA and a grade of C or better in HIS 
2201 Historical Methods, and at least six hours of upper-level HIS coursework. May be repeated 
once for credit as a history elective.   Fulfills Experiential Learning requirement.

Prerequisites: Junior or Senior standing, 3.0 GPA in major, 2.5 cumulative GPA, and HIS 2301

Corequisites: "
HIS 4360,Topics in History,4,"A seminar style examination, discussion, and analysis of a historical issue, time period, person, or 
group.

Prerequisites: Six (6) credit hours of history

Corequisites: "
IL 5311,Leading Instructional Improvement,5,"The ability to improve student outcomes at the campus or district level is paramount for school 
leaders in today’s world. School improvement is guided by the State of Texas through the use of the 
Effective Schools Framework (ESF). It is important for aspiring leaders to become familiar with the 
State’s ESF process and to develop the knowledge and skills required to implement the Effective 
Schools Framework on their own campuses or within their respective districts. Pre-Requisites: None 
IL 5312 Academic Coaching 
Academic coaching is essential for school reform; it is imperative to teach the efficacy of, and 
outcomes associated with, effective coaching. The course will: 1) define academic coaching, 2) 
demonstrate implementation; 3) identify effective outcomes that will improve teacher performance 
and increase student learning.

Prerequisites: None

Corequisites: "
IL 5313,Developing Organizational Capacity,5,"This course is designed to take a practical approach to exploring individual and organizational 
strategies designed to simulate adult learning and build capacity in schools and districts through the 
coaching process to achieve higher levels of performance. In addition, this course is aimed at 
promoting understanding of how to improve performance results through individual and 
organizational accountability.

Prerequisites: None

Corequisites: "
IL 5322,Legal Foundations of Education,5,"A study of how recent trends and institutional changes in society have impacted the legal aspects of 
formal education. This class will provide research, class discussions, and activities which will 
increase students' knowledge of legislation, court precedents, tort and contract law, negligence and 
liability, societal issues, and how legal issues influence employment, academic/classroom, campus, 
and administration behavior. Emphasis will be on real problems educators face and on practical and 
legal responses to those problems.

Prerequisites: None

Corequisites: "
IL 5351,School Diversity Leader,5,"A course of study giving students an opportunity to develop and increase skills and knowledge in 
the areas of religion, ethics, conflict resolution, counseling, the historical influences on ethnic 
diversity interaction, community relations, and leadership of the school environment. It is necessary 
for the school administrator to be the force by which these groups cannot only coexist, but to share 
common goals and work together in a collaborative manner, so all students can be successful and 
be a productive force in the community, nation and world.

Prerequisites: None

Corequisites: "
KIN 1132,Racquet Sports (Skill),1,"Basic rules and fundamental skills of badminton, racquetball, and tennis taught through 
participation. May not be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1133,Basketball/Softball (Skill),1,"Basic rules and fundamental skills of each activity taught through participation. May not be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1134,Bowling/Archery (Skill),1,"Basic rules and fundamental skills of each activity taught through participation. Students must pay 
bowling fees. May not be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1136,Golf/Volleyball (Skill),1,"Basic rules and fundamental skills of each activity taught through participation. Students must pay 
golf fees. May not be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1137,Introduction to Martial Arts (Skill),1,"An activity course designed to develop and enhance movement skills in Judo, Karate, and Tai 
Kwon Do. May not be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1139,Table Tennis/Pickle Ball (Skill),1,"Addresses the five components of skill-related fitness. The development of agility, speed, quickness, 
coordination and power are necessary for a balanced fitness regimen. Student participation is key 
to the success of any skill-based activity course, as repetition is the cornerstone of acquiring sports 
skills. The skill components of table tennis and pickle ball are transferable and reinforce the 
learning of the skill component. May not be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1140,Intercollegiate Golf – Women,1,"Credit awarded to those who participate in the entire season of intercollegiate golf. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1141,Intercollegiate Basketball – Men,1,"Credit awarded to those who participate in the entire season of men's intercollegiate basketball. 
May be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1142,Intercollegiate Tennis – Men,1,"Credit awarded to those who participate in the entire season of men's intercollegiate tennis. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1143,Intercollegiate Baseball – Men,1,"Credit awarded to those who participate in the entire season of men's intercollegiate baseball. May 
be repeated for credit.e

Prerequisites: None

Corequisites: "
KIN 1144,Intercollegiate Golf – Men,1,"Credit awarded to those who participate in the entire season of intercollegiate golf. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1145,Intercollegiate Cross Country – Men,1,"Credit awarded to those who participate in the entire season of intercollegiate cross country. May 
be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1146,Intercollegiate Cross Country – Women,1,"Credit awarded to those who participate in the entire season of intercollegiate cross country. May 
be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1147,Men’s Intercollegiate Track & Field,1,"Activity course designed to provide students with the opportunity to develop and/or improve their 
existing psychomotor skill abilities in the events of track and field.  Students will practice the 
movement patterns of the various events and become competent in the execution of those skills.  
Additionally, students will be exposed to instructional methodologies used in the teaching of track 
and field.

Prerequisites: None

Corequisites: "
KIN 1157,Women’s Intercollegiate Track & Field,1,"Activity course designed to provide students with the opportunity to develop and/or improve their 
existing psychomotor skill abilities in the events of track and field.  Students will practice the 
movement patterns of the various events and become competent in the execution of those skills.  
Additionally, students will be exposed to instructional methodologies used in the teaching of track 
and field.

Prerequisites: None

Corequisites: "
KIN 1151,Intercollegiate Basketball – Women,1,"Credit awarded to those who participate in the entire season of women's basketball. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1152,Intercollegiate Tennis - Women,1,"Credit awarded to those who participate in the entire season of women's tennis. May be repeated 
for credit.

Prerequisites: None

Corequisites: "
KIN 1153,Intercollegiate Softball - Women,1,"Credit awarded to those who participate in the entire season of women's softball. May be repeated 
for credit.

Prerequisites: None

Corequisites: "
KIN 1154,Intercollegiate Soccer – Women,1,"Credit awarded to those who participate in the entire season of intercollegiate soccer. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1155,Intercollegiate Soccer – Men,1,"Credit awarded to those who participate in the entire season of intercollegiate soccer. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1156,Intercollegiate Volleyball – Women,1,"Credit awarded to those who participate in the entire season of women's volleyball. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1176,Wt. Training & Conditioning (Fitness),1,"An activity course designed to develop and enhance muscular strength and endurance. May be 
repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1177,Aerobic Walking (Fitness),1,"Addresses the components of health-related fitness. The development of cardiovascular endurance, 
muscular endurance, body composition and flexibility are necessary for a balanced fitness regimen. 
Student participation is key to the success of any activity course, and walking is a classic learning 
environment for the appreciation of fitness as improvement is rapid and the basic movements 
necessary to master the activity are pre-existing. May be repeated for credit.

Prerequisites: None

Corequisites: "
KIN 1200,Scuba,1,"The scuba class provides familiarity with the knowledge, skills, and equipment necessary to obtain 
Open Water Certification with Scuba Schools International (SSI). Pre-Requisites: None. Course Fee: 
$500. Maximum number of students limited to 8. 
 
KIN 1235 Introduction to Fencing 
 
 
Basic rules and fundamental skills of fencing taught through participation. Students will learn 
fundamental attacks, defenses, and tactics with the foil. This course may not be repeated for credit.

Prerequisites: None. Course Fee: $50. Maximum number of students limited to 15.

Corequisites: "
KIN 1301,Personal Wellness,1,"This course is designed to promote a healthy lifestyle derived from proper physical activity and 
informed lifestyle choices. Major topics of emphasis include an overview of the principals of 
wellness, stress management, nutrition and weight management, and concepts and principals of 
physical fitness. With the assistance of related laboratory experiences, students will be provided the 
opportunity to evaluate their current state of wellness in each of the topic areas and plan 
appropriate lifestyle change strategies.  May be used to fulfill Kinesiology requirement in the 
Concordia Common Experience curriculum.

Prerequisites: None

Corequisites: "
KIN 1302,First Aid and Safety,1,"Safety in prevention of injuries; first aid treatment, including CPR, emergency care and treatment of 
injury with special emphasis on playground and school injuries. Note: Does NOT count for core 
physical education requirements.

Prerequisites: None

Corequisites: "
KIN 2301,Personal and Community Health,2,"Personal health problems, venereal disease, AIDS, birth control, cancer, heart diseases, nutrition, 
fitness, mental health, family living, and community and consumer health. Prerequisite: Sophomore 
standing or consent of instructor. Note: Does NOT count for core physical education requirements. 
Note: If a student presents a medical doctor's letter that precludes participation in activity courses, 
KIN 2301 will be allowed in lieu of the three one hour KIN courses in the core.

Prerequisites: None

Corequisites: "
KIN 2302,Introduction to Physical Education,2,"Overview of the foundations of physical education and various careers available in this field. Note: 
Does NOT count for core physical education requirements.

Prerequisites: None

Corequisites: "
KIN 2303,Theory & Application of Physical Fitness,2,"A study of the various theories of human physical fitness and their application in forming 
conditioning protocols. An acceptable fitness profile, through in-class conditioning, is to be 
developed and fitness testing field experience is required. Note: Does NOT count for core physical 
education requirements.

Prerequisites: None

Corequisites: "
KIN 2330,Prevention & Treatment of Movement Injuries,2,"This class covers the methods and techniques for the treatment and prevention of injuries related to 
participation in physical activities. Emphasis is placed on injury management procedures, 
knowledge of movement injuries and conditioning, and taping and bracing procedures.

Prerequisites: None

Corequisites: "
KIN 3311,Musculoskeletal Anatomy and Biomechanics,3,"The musculoskeletal system: application of basic mechanical principles in human movement. Note: 
Does NOT count for core physical education requirements.

Prerequisites: None

Corequisites: "
KIN 3313,Motor Development and Learning,3,"An introduction to the theories of motor learning and skills acquisition. Does NOT count for core 
physical education requirements. Physiological development of the child in relation to physical 
performance. Note: Does NOT count for core physical education requirements.

Prerequisites: None

Corequisites: "
KIN 3315,Org & Admin of Physical Ed & Sport,3,"Principles, practices, and procedures in organizing and administering physical education/athletic 
programs; staffing, facilities, budgeting, equipment, and safety. Note: Does NOT count for core 
physical education requirements.

Prerequisites: None

Corequisites: "
KIN 3316,Evaluation in Physical Ed and Sport,3,"Principles of measurement and evaluation, elements of statistical techniques appropriate to physical 
education, criteria for test selection, construction and evaluation of human performance in the 
cognitive and motor domains. Note: Does NOT count for core physical education requirements.

Prerequisites: None

Corequisites: "
KIN 3331,Coaching Team Sports,3,"An introduction to team sports-history, psychology, rules, skills, equipment, instructional 
techniques, safety principles, adaptations for the physically disabled and competitive programs. 
Note: Does not count for core physical education requirements.

Prerequisites: None

Corequisites: "
KIN 3332,Coaching Individual Sports,3,"An introduction to individual sports-history, psychology, rules, skills, equipment, instructional 
techniques, safety principles, adaptations for the physically disabled and competitive programs. 
Note: Does NOT count for core physical education requirements.

Prerequisites: None

Corequisites: "
KIN 3333,Methods of Teaching Phys Ed,3,"Students will discover effective methods and techniques for teaching physical education while 
integrating the dimensions of wellness for healthy living. Major components of the course include 
writing instructional objectives and lesson plans, applying principles of organization and class 
management, and incorporating delivery strategies unique to physical education. Satisfies the 
Wellness requirement for the Common Experience. Cross-listed with KIN 3333.

Prerequisites: Grade of ‘C’ or higher in KIN 2301 or KIN 2302, or Admission to the Teacher Education

Corequisites: "
KIN 3334,Exercise and Sport Psychology,3,"This class covers the psychological aspects of movement activities that underline performance. It 
also covers the intrinsic and extrinsic factors that must be recognized in order to understand, 
motivate, and evaluate human movement. Note: Does NOT count for core physical education 
requirements.  Cross listed with PSY 3334.

Prerequisites: None

Corequisites: "
KIN 3336,NASM Fitness Lifespan YES/SFS,3,"Students will learn to expand their knowledge to understand and serve youth/ senior populations 
by applying appropriate and relevant exercise selections with special considerations.

Prerequisites: None

Corequisites: "
KIN 3337,Applied Nutrition Coaching,3,"Students will learn all the latest information regarding nutrition, behavior change, and coaching, all 
while using cutting-edge technology—developed for proficiency, competency, and student success, 
in becoming a Certified Nutrition Coach.

Prerequisites: None

Corequisites: "
KIN 3340,Legal and Ethical Aspects of Sports Administration,3,"This course is an introduction to the study of legal and ethical issues that arise in sports 
administration. Students will learn the nature of ethical conduct and will practice decision making 
to solve legal and ethical challenges that arise in the industry of sports administration. The course 
will encourage students to evaluate ethical theories and their application to specific issues in sports, 
including fairness in competition, cheating, racial and gender equality, gambling, and violence.

Prerequisites: None

Corequisites: "
KIN 3345,Sports,3,"An introduction and overview of sports communication including theoretical assumptions, sports
communication history and current models, the impact of sports communication in print and 
electronic media, and current socio-cultural and legal issues in sports communication. Students will 
critically assess the impact of sports communication processes on sport management organizations. 
Students will critically evaluate the communication efforts of sports administration organizations 
while learning how to develop their own communications in the field of sports administration.

Prerequisites: None

Corequisites: "
KIN 4310,Kinesiology Internship,4,"Provides students with the opportunity to demonstrate and gain experience building and using 
diagnostic skills, organization skills, group process skills, and program skills in a community, school 
or university setting. May be repeated once for credit.   Fulfills Experiential Learning requirement.

Prerequisites: Junior or senior standing

Corequisites: "
KIN 4330,Exercise Physiology,4,"This class is a study of the physiological responses of the body to exercise. Emphasis is on the 
application of the physiological principles deemed most important for understanding physical 
training. Note: Does NOT count for core physical education requirements.

Prerequisites: Grade of “C” or higher in BIO 3411

Corequisites: "
LAT 1301,Latin I,1,"This course covers the basic grammatical structure of the language. Readings include selections 
from the Vulgate and Medieval Church Latin.

Prerequisites: None

Corequisites: "
LAT 1302,Latin II,1,"This course continues with more advanced grammatical study. Readings include selections from 
Ecclesiastical Latin and passages from Ovid's Metamorphoses.

Prerequisites: LAT 1301

Corequisites: "
LAT 2311,Latin III,2,"A continuation of the study of Latin grammar with readings from Cicero, Vergil, Ovid, and from the 
Vulgate.

Prerequisites: LAT 1302

Corequisites: "
LDR 1100,Life & Leadership,1,"This course is designed to assist students in a successful adjustment to college life at Concordia 
University Texas. Required of all first-year undergraduate students at Concordia, students will 
engage in lessons and activities that provide opportunities for higher level success in academics, 
social interactions, institutional affinity and personal growth. Students will learn both practical skills 
like time management and healthy relationships, as well as dig into deeper concepts like Christian 
leadership, vocation, and diverse mindsets. Fulfills one of the Leadership requirements of the 
Concordia Distinctive.

Prerequisites: None

Corequisites: "
LDR 1100T,Life & Leadership Transfer,1,"This course is designed to assist transfer students in a successful adjustment to college life at 
Concordia University Texas. Required of all first-year undergraduate students at Concordia, 
students will engage in lessons and activities that provide opportunities for higher level success in 
academics, social interactions, institutional affinity and personal growth. Students will learn both 
practical skills like time management and healthy relationships, as well as dig into deeper concepts 
like Christian leadership, vocation, and diverse mindsets. Fulfills one of the Leadership 
requirements of the Concordia Distinctive.

Prerequisites: None

Corequisites: "
LDR 2201,Leadership Theory,2,"This course will provide students a theoretical and practical understanding of leadership theories 
that will enable them to engage in leadership in healthier and more effective manners.  Through the 
use of individual and group projects, students will consider different leadership models and 
strategies, examine the role of followers, and develop a personal theory of leadership that can be 
 
 
used in various settings.  Fulfills one of the Leadership requirements of the Concordia Distinctive.

Prerequisites: LDR 1100 or LDR 110T

Corequisites: "
LDR 2116S,/ 2116T Student Leadership Practicum,2,"This course will provide students with an opportunity to experience a variety of directed and 
supervised leadership experiences. Students will select (or be selected to) a leadership program and 
be expected to fully engage in the required level of preparation and participation needed for the 
program or experience. Students will be directed by a Concordia faculty member, possibly in 
conjunction with an outside agency. Acceptable experiential leadership programs include, but are 
not limited to, the following: Student Government, Concordia Tradition Team Leaders, Texas Civic 
Ambassadors, Community Board Experience. This course is not intended for full-time employment 
or internship opportunities. Course number suffixes relate to different iterations of the leadership 
practicum. Students may repeat this course up to three times for credit.

Prerequisites: None

Corequisites: "
LDR 3301,Peer Leaders,3,"The purpose of this course is to develop student leadership by having current students serve as 
leaders in Life and Leadership freshmen classes at Concordia University Texas. Students apply and 
are selected to serve as Peer Leaders, to walk with incoming freshmen as they transition into 
college and work with an assigned instructor to help facilitate the class. This class provides students 
the opportunity to learn about specific leadership theories that they can use as they connect with 
and build positive influence and mentoring opportunities with freshmen. Class participants are 
required to attend trainings, Peer Leader class sessions, meetings of their assigned Life and 
Leadership section and other specific events or activities as assigned. This course can be 
substituted for LDR 2201 or taken as an upper-level elective.

Prerequisites: LDR 1100 or LDR 1100T and Course instructor permission required.

Corequisites: "
LDR 3311,"Diversity, Equity & Inclusion in Leadership",3,"Students will explore diversity concepts, analyze equitability in leadership, and learn to cultivate an 
inclusive environment in their communities and workplaces. This course will define these concepts 
for students while simultaneously giving them a way to put these concepts into leadership practice.

Prerequisites: LDR 2201 or LDR 3301 (or concurrent enrollment in LDR 2201 or LDR 3301)

Corequisites: "
LDR 3312,Community & Volunteer Leadership,3,"Students will gain a deeper understanding of the importance of effective leadership in community 
and volunteer opportunities. This course will specifically explore ideas related to coalitional 
leadership, values based leadership, and motivational theories and examine how theories like these 
impact leadership at more local levels.

Prerequisites: LDR 2201 or LDR 3301 (or concurrent enrollment in LDR 2201 or LDR 3301)

Corequisites: "
LDR 3313,The Depths of Followership,3,"Popular culture elevates leaders while often ignoring or disparaging followers; yet followers serve 
critical roles in any organization or structure. In this course, students will learn about the 
significance of being an effective follower and how to develop skills of effective followership. 
Additionally, students will learn how to build dynamic relationships between followers and leaders 
and to connect followership skills to leadership skills for effective results.

Prerequisites: LDR 2201 or LDR 3301 (or concurrent enrollment in LDR 2201 or LDR 3301)

Corequisites: "
LDR 2201,"(or LDR 3301), and two of the LDR Minor Required courses",2,"(Community & Volunteer, DEI in Leadership, or Depths of Followership) 
LDR 4101C / 4101G / 4101E Leadership & Career  
Students will master the meaning of vocation as they explore individual competencies, and prepare 
professional instruments such as a resume, online profile, and supporting materials. Additionally, 
students will learn about diversity in the workplace, inclusivity and belonging, benefits and 
leadership at all levels. Students will connect what they have learned in their individual majors to 
transferable skills as they move toward meaningful work or graduate school. There are three 
variations of this course: LDR 4101C which is open to all students, LDR 4101G which is targeted 
toward students looking at graduate programs, and LDR 4101E which is restricted to Education 
majors due to the specific competencies in the course.

Prerequisites: LDR 1100 or LDR 1100T and successful completion or concurrent enrollment in LDR 2201

Corequisites: "
MBA 5103,Leadership - Self,5,"Leadership Seminars are designed to provide a space for students to integrate course content, 
personal commitments, and real world experience to transform themselves as leaders. The 
Seminars enable students to do this with the support and input of their cohort peers. Each seminar 
covers an essential aspect or “site” of leadership and consists of relevant assessment and discovery 
tools, discussion, self-reflection, and integration of course material.

Prerequisites: None

Corequisites: "
MBA 5113,Leadership - Others,5,"Leadership Seminars are designed to provide a space for students to integrate course content, 
personal commitments, and real world experience to transform themselves as leaders. The 
Seminars enable students to do this with the support and input of their cohort peers. Each seminar 
covers an essential aspect or “site” of leadership and consists of relevant assessment and discovery 
tools, discussion, self-reflection, and integration of course material.

Prerequisites: None

Corequisites: "
MBA 5200,Data Analytics,5,"This course is designed to equip managers and leaders with the knowledge to understand, manage, 
and visualize the data, and apply the appropriate analysis tools to translate managerial, financial, or 
economics problems into timely business applications. This course will also examine data 
management, exploratory data analysis and visualization, descriptive statistics, inferential statistics, 
regression analysis, and data mining in the decision-making process of solving complex business 
problems.

Prerequisites: Students may be required to take Peregrine Software before the course begins per admission

Corequisites: "
MBA 5201,Marketing Management,5,"This course focuses on the marketing decisions made by businesses and organizations, covering the 
strategic role of marketing, marketing problems typically encountered in business, and the 
analytical concepts and techniques used in marketing. Students will understand marketing planning 
and strategy in the context of organizational plans as well as how to integrate the functional areas of 
business administration into a realistic approach to solving complex problems at the executive 
level.

Prerequisites: None

Corequisites: "
MBA 5202,Managerial Economics,5,"This course covers the economic forces that have a fundamental influence on a business’ 
profitability, growth, and sustainability. It provides the core economic concepts that guide 
managerial decision-making. Topics include Supply/Demand, Capital Markets, Consumer Theory, 
Structures of Markets, Trade-offs, Cost-Benefit Analysis, Forecasting and Budgeting. Prerequisites: 
Peregrine Software module may be required depending upon admission requirements.

Prerequisites: None

Corequisites: "
MBA 5207,Financial Accounting & Management,5,"This course covers the use of accounting data and processes in managing a business or an 
organization. In particular, it focuses on the concepts, processes, and models that provide 
information and control for managers, as well as the ways in which accounting supports and 
enables marketing and strategy decisions, performance, and operations management. Prerequisites: 
Peregrine Software module may be required depending upon admission requirements.

Prerequisites: None

Corequisites: "
MBA 5208,"Organizational Ethics, Behavior and Change",5,"This course covers the ethical interconnection of worldviews, values, and behavior in an 
organization. The course analyzes the impact of ethical decisions on organizational stakeholders, as 
well as tools for creating and sustaining an ethical culture in understanding theoretical models and 
interplay of moral, legal, and social issues in managing one’s self, individuals, groups, and 
organizations in a complex environment where stakeholders often have competing interests. Topics 
include Leadership, Collaboration/Groups, Change, Culture, Resilience, and Organizational 
Learning.

Prerequisites: None

Corequisites: "
MBA 5216,Managing Operations and Supply Chain,5,"This course covers key operational aspects of a business: tactical and strategic decision-making, 
project management, lean operations, Six Sigma, TQM, and change management. Supply chain 
management topics include: business continuity planning, inbound logistics planning for 
environmental sustainability and corporate responsibility, and IT solutions for agile supply chain 
management. Course emphasizes the use of IT, social media, and the Internet for business 
processes and communication.

Prerequisites: None

Corequisites: "
MBA 5220,"Business, Society and Public Policy",5,"This course examines current political, legal, and social forces acting on business and the ways in 
which business influences these forces. It focuses in particular on legislative and regulatory actions, 
policy making and implementation, and the interaction of the political-economic systems, public 
policy, and business. The course also examines the evolving relationship of business, government, 
and nonprofit organizations in America today, especially the rise of business-public-private-
nonprofit collaborations.

Prerequisites: None

Corequisites: "
MBA 5222,Leadership - Community,5,"Leadership Seminars are designed to provide a space for students to integrate course content, 
personal commitments, and real world experience to transform themselves as leaders. The 
Seminars enable students to do this with the support and input of their cohort peers. Each seminar 
covers an essential aspect or “site” of leadership and consists of relevant assessment and discovery 
tools, discussion, self-reflection, and integration of course material. Leadership Seminar III will help 
students understand the needs of their local community and explore how they can personally make 
an impact for the common good within their community.

Prerequisites: None

Corequisites: "
MBA 5225,Entrepreneurship and Innovation,5,"Principles and techniques of opportunity identification, new venture creation, innovation and 
sustainability. This course considers entrepreneurial innovation from concept to market. The course 
emphasizes social innovation and social entrepreneurship, including how principles of each benefit 
traditional businesses. Designed to support students’ venture creation in MBA Capstone.

Prerequisites: Students must have completed the majority of the MBA program and successfully complete

Corequisites: "
MBA 5207,and MBA 5312 before enrolling in this course.,5,"MBA 5306 Critical Thinking 
This course is designed to give new MBA students a common foundation in management concepts, 
analysis, and technologies. Students will improve their skills in self-awareness, reflection, listening, 
and making sound judgments. Students will learn how to research and write at the graduate level, 
prepare and analyze case studies, improve their speaking and presentation skills, along with 
working in teams. Students will also develop skills necessary to evaluate the assumptions, evidence, 
and inferences of what one thinks, reads and hears, and to present ideas in a logical, thorough, and 
persuasive manner.

Prerequisites: None

Corequisites: "
MBA 5310,Internship,5,"The internship provides students with the opportunity to apply the cumulative knowledge and skills 
in the MBA program to a real-world work environment. The internship involves the following steps: 
1) selecting a work site; 2) developing a contract that ensures both employer and student benefit; 3) 
fulfilling the contract activity through ongoing work; and 4) preparing a paper that summarizes the 
learning experience and outcomes. The expectation is for a minimum of 150 hours completed in 
this internship. The internship course does not warrant course substitutions or course transfers.

Prerequisites: Students must successfully complete 6 credit hours of the MBA program and must have a

Corequisites: "
MBA 5312,Corporate Finance and Investments,5,"This course focuses on finance concepts and tools necessary for successfully running a business 
and making effective decisions. Emphasis placed on preparing students with the practical tools 
necessary for running a business. Topics include Debt/Equity mix, Cash Flow, Opportunity Cost, 
Risk-Return, Valuation of Assets/Projects. Students will participate in the investment stock market 
simulation StockTrak global trading software throughout the semester.

Prerequisites: Peregrine Software module may be required depending upon admission requirements. MBA

Corequisites: "
MBA 5313,Organizational Processes in Consulting and Coaching,5,"This is an application course exploring the profession of management consulting and coaching. 
Designed to teach through understanding the art and science of internal and external management 
consulting/coaching, students are offered an opportunity to explore the relationship between 
theory and practice, and the continual changing nature of the consultation industry. Students must 
take this course in their last semester of the MBA-ODL program.

Prerequisites: None

Corequisites: "
MBA 5318,Principles of Corporate Training and Learning,5,"In this course students will examine critical processes associated with the planning, developing and 
implementing of training and education programs that build upon an organization's vision and 
mission. The processes will mesh proven methods with new trends that connect theories, models 
and strategies within organizational development.

Prerequisites: None

Corequisites: "
MBA 5319,Talent Management,5,"This course emphasizes the process between workforce engagement, motivation and development. 
Especially examined in this course is the role that talent management and motivation has in the 
realm of organizational learning and training. The course investigates into various motivational and 
talent management theories to help the student to understand the complexities and 
meaning/purpose of work - why do people work, and how effective motivation can lead to future 
employee success.

Prerequisites: None

Corequisites: "
MBA 5447,Capstone,5,"This course allows students to establish a link between their academic knowledge and practical 
applications by partnering with business and industry in their community. Students will plan, 
develop, and propose a capstone project with emphasis on management consulting or integrate 
their learning experiences throughout the program in the creation of a venture or project they might 
pursue once they have left the program. Designed to build off concepts and techniques taught in the 
Entrepreneurship and Innovation Course.

Prerequisites: Students must have completed the majority of the MBA program and successfully complete

Corequisites: "
MBA 5207,and MBA 5312 before enrolling in this course. Course Fee: $300,5,"MBA 5350H Healthcare Strategy and Business Planning  
This course will examine strategic planning processes and will focus on the key components of 
business planning in the healthcare management environment. Healthcare reform, ethical concerns 
 
 
and social justice are additional topics in managing the dual tracks of strategic and operational 
planning for today’s healthcare leader.

Prerequisites: None

Corequisites: "
MBA 5352H,Ethical and Legal Issues in Healthcare Management,5,"This course presents an overview of the ethical and legal issues important to the healthcare 
manager, and provides students with a working knowledge of ethics and health law. Students will 
learn the contemporary elements of health law and its application to healthcare management with a 
range of topics from professional standards, patient rights, government regulation, negligence and 
malpractice and medical records.

Prerequisites: None

Corequisites: "
MBA 5354H,Policy Trends and Considerations for the Healthcare Manager,5,"The purpose of this course provides students with an accurate understanding of the policy 
challenges in the U.S. healthcare care system today. The course will focus on the challenges of cost, 
quality, and access, the relationship between market failure and the passage of the Affordable Care 
Act (ACA), and the expected and potential impact of the ACA on the organization, structure, 
delivery and outcomes of the health care system.

Prerequisites: None

Corequisites: "
MBA 5356H,Quality Methods for Healthcare Performance,5,"This course serves as a capstone course for students in their last semester that will examine 
methods and tools for managing quality in health facilities, physician practices, managed care and 
public health organizations. Topics will cover developments in quality assurance and improvement 
processes, risk management, the Affordable Care Act, and utilization management practices and 
trends.

Prerequisites: None

Corequisites: "
MPH 5300,Essentials of Health Behavior,5,"This graduate level course prepares students to understand how individual behavior impacts health 
while examining the social, political and economic factors that influence the 'big picture' on 
population health overall. This course is grounded in the practical everyday behaviors of both 
individuals and populations with a focus on the key theories of human behavior drawn from the 
social sciences as well as public health. It will examine the range of methods for changing behavior 
that can negatively impact your health and how to apply these methods to programs that promote 
healthy lifestyles and programs that prevent diseases.

Prerequisites: None

Corequisites: "
MPH 5301,Community Health,5,"This course examines population health from a community perspective. Communities can be 
different and diverse and include people from various cultures. This course examines the cultural 
values and practices that impact population health including how issues such as structural bias, 
social inequities and racism can undermine health especially at the community level. This course 
will engage students in understanding the strategies to identify stakeholders and build partnerships 
to influence health outcomes as well as to advocate for political, social and economic policies that 
will improve the health of populations in different communities.

Prerequisites: None

Corequisites: "
MPH 5302,Principles of Health Education,5,"Many people care about their health but may not know what to do to ensure they are living a 
healthy lifestyle. This graduate level course teaches students how to educate others (individuals, 
populations, communities and whole societies) on how to improve their health in the short term as 
well as the long term. This course provides a combination of tools that are designed to help 
populations increase their knowledge on healthy living. Through case studies and real world 
 
 
examples, current challenges, needs and barriers to health education will also be investigated while 
practical solutions and best practices for diverse populations are also addressed.

Prerequisites: None

Corequisites: "
MPH 5305,Global Health Systems,5,"This course examines the importance of population health in different parts of the world including 
how factors such as globalization can affect the global burden of disease. The course compares the 
organization, structure and function of healthcare systems across both national and international 
settings and introduces students to different health systems, their benefits as well as their 
challenges This course examines development, human rights, immigration issues, humanitarian 
emergencies and some of the more complex global health challenges facing our world along with 
great innovations and strategies and ideas that have been tried or are being tried to resolve them.

Prerequisites: None

Corequisites: "
MPH 5306,Essentials of Environmental Health,5,"This course focuses on the environmental factors that can impact a population's health and allows 
students to understand how ecology is connected to human health. The concept of ONE health is 
examined including the interaction and interconnectedness between human health, animal health 
and the health of ecosystems in order to maintain sustainable environments that will improve 
population health rather than harm it. Environmental concerns, issues related to climate change, 
urbanization, population density and changing demographics will also be included.

Prerequisites: None

Corequisites: "
